--------- beginning of crash
--------- beginning of system
--------- beginning of main
09-05 15:09:01.552 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.35658182907211666，target_2 =  498104.8455724984， target_3 =  109080.0， target_4 = 0.32515885972868175, index = 54
09-05 15:09:01.552 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.5295537352550771，target_2 =  894775.112206472， target_3 =  124336.0， target_4 = 0.3151734688058778, index = 55
09-05 15:09:01.553 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.47261577726457493，target_2 =  479832.7179911211， target_3 =  106370.0， target_4 = 0.36573215683438853, index = 56
09-05 15:09:01.553 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.35338574825965885，target_2 =  892833.064237287， target_3 =  112722.0， target_4 = 0.3456041446696807, index = 57
09-05 15:09:01.553 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.45603031757799023，target_2 =  860578.4546165053， target_3 =  122024.0， target_4 = 0.31357647237417763, index = 58
09-05 15:09:01.553 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.40681960628842384，target_2 =  504336.8675867408， target_3 =  107954.0， target_4 = 0.3321538475097743, index = 59
09-05 15:09:01.554 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.586981897498667，target_2 =  498451.04912589665， target_3 =  127489.0， target_4 = 0.26577097926261956, index = 60
09-05 15:09:01.554 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.35670831769984，target_2 =  657242.8428536901， target_3 =  111638.0， target_4 = 0.335109612499857, index = 61
09-05 15:09:01.554 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.48965871369691627，target_2 =  744716.6436224403， target_3 =  118094.0， target_4 = 0.3233588626025851, index = 62
09-05 15:09:01.554 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.37886333415491397，target_2 =  982773.3577731854， target_3 =  115768.0， target_4 = 0.34082174939767523, index = 63
09-05 15:09:01.555 12228 12648 I BitmapRecognizeUtils: similar ： target  ==-0.24961191045021244，target_2 =  943316.5315582048， target_3 =  112653.0， target_4 = 0.597494219688298, index = 64
09-05 15:09:01.555 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.4181022387668156，target_2 =  873859.1895140989， target_3 =  120248.0， target_4 = 0.3236725554487138, index = 65
09-05 15:09:01.555 12228 12648 I BitmapRecognizeUtils: similar ： target  ==-0.14416957816373105，target_2 =  1906728.2709644197， target_3 =  133720.0， target_4 = 0.5369050226508105, index = 66
09-05 15:09:01.555 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.2774632896614606，target_2 =  1900937.7774729321， target_3 =  123669.0， target_4 = 0.3475424231691675, index = 67
09-05 15:09:01.556 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.35592422631351145，target_2 =  841825.7138236794， target_3 =  112374.0， target_4 = 0.3494282911980956, index = 68
09-05 15:09:01.556 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.3830551998410055，target_2 =  219939.3491369924， target_3 =  93138.0， target_4 = 0.32824739094049954, index = 69
09-05 15:09:01.556 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.3333274111798326，target_2 =  422956.3255580259， target_3 =  91276.0， target_4 = 0.38123539624164526, index = 70
09-05 15:09:01.556 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.39986759793137533，target_2 =  1078139.2211935865， target_3 =  122372.0， target_4 = 0.31790464309200833, index = 71
09-05 15:09:01.557 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.2884815044611218，target_2 =  774645.4076535753， target_3 =  104065.0， target_4 = 0.36597327066016466, index = 72
09-05 15:09:01.557 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.2690518434990027，target_2 =  652475.1461722042， target_3 =  99057.0， target_4 = 0.3740567482934407, index = 73
09-05 15:09:01.557 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.3351636974680981，target_2 =  676439.8128280842， target_3 =  108228.0， target_4 = 0.34500198220006173, index = 74
09-05 15:09:01.557 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.3990080846565454，target_2 =  643179.1766845214， target_3 =  110976.0， target_4 = 0.3387355832973989, index = 75
09-05 15:09:01.558 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.32041125865748993，target_2 =  519735.28744900395， target_3 =  105358.0， target_4 = 0.3385067054019646, index = 76
09-05 15:09:01.558 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.3731367957598728，target_2 =  1121710.7667207692， target_3 =  120146.0， target_4 = 0.3399465161921264, index = 77
09-05 15:09:01.558 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.3088077206611756，target_2 =  1996443.2408519608， target_3 =  124314.0， target_4 = 0.35650360521986524, index = 78
09-05 15:09:01.559 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.35037765755172834，target_2 =  857506.7221414393， target_3 =  113403.0， target_4 = 0.3393959873303175, index = 79
09-05 15:09:01.559 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.34529744535710405，target_2 =  2164550.9872071138， target_3 =  129067.0， target_4 = 0.3321856468589499, index = 80
09-05 15:09:01.559 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.31015017686868546，target_2 =  2037439.26877071， target_3 =  124884.0， target_4 = 0.3553973104009447, index = 81
09-05 15:09:01.560 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.3574571617241975，target_2 =  812897.9778428714， target_3 =  113473.0， target_4 = 0.33557661937253636, index = 82
09-05 15:09:01.561 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.10139014577537074，target_2 =  3263452.239803903， target_3 =  122279.0， target_4 = 0.4141193119212309, index = 83
09-05 15:09:01.561 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.44109755852877564，target_2 =  312994.1814626971， target_3 =  107787.0， target_4 = 0.40494020045943824, index = 84
09-05 15:09:01.561 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.37675145556422046，target_2 =  743899.8763226779， target_3 =  120829.0， target_4 = 0.3869585050651145, index = 85
09-05 15:09:01.562 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.3006379952128088，target_2 =  664120.6861458361， target_3 =  115952.0， target_4 = 0.41527588363793255, index = 86
09-05 15:09:01.562 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.4610413479668789，target_2 =  402452.53497304494， target_3 =  118756.0， target_4 = 0.4092346294387928, index = 87
09-05 15:09:01.562 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.18838182545211846，target_2 =  803540.2661005397， target_3 =  108468.0， target_4 = 0.4213404626606009, index = 88
09-05 15:09:01.562 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.3577928380439457，target_2 =  1325826.0665160257， target_3 =  127669.0， target_4 = 0.3746441073853319, index = 89
09-05 15:09:01.563 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.47124494991857674，target_2 =  753728.9077063139， target_3 =  115112.0， target_4 = 0.33339355994809033, index = 90
09-05 15:09:01.563 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.44284436056264964，target_2 =  1552235.327764964， target_3 =  130369.0， target_4 = 0.3081805715216506, index = 91
09-05 15:09:01.563 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.37637144149113455，target_2 =  842284.9491604897， target_3 =  108042.0， target_4 = 0.35729525811632057, index = 92
09-05 15:09:01.563 12228 12648 I BitmapRecognizeUtils: end to compare = 提神水晶
09-05 15:09:01.563 12228 12648 I BitmapRecognizeUtils: start to compare
09-05 15:09:01.564 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.8318799181087554，target_2 =  45969.74153199327， target_3 =  155190.0， target_4 = 0.15435287011302484, index = 0
09-05 15:09:01.565 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.16012470794869518，target_2 =  313588.07639723376， target_3 =  78067.0， target_4 = 0.5170836834725927, index = 1
09-05 15:09:01.565 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.42586281658933905，target_2 =  197592.01024623035， target_3 =  106483.0， target_4 = 0.327757320686093, index = 2
09-05 15:09:01.565 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.06910513105687716，target_2 =  498998.138613632， target_3 =  83214.0， target_4 = 0.433774597555149, index = 3
09-05 15:09:01.566 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.3136154796122759，target_2 =  457778.36180375563， target_3 =  143187.0， target_4 = 0.30764789545039967, index = 4
09-05 15:09:01.567 12228 12648 I BitmapRecognizeUtils: similar ： target  ==0.5309910710772566，target_2 =  279764.1426352856， target_3 =  144635.0， target_4 = 0.27472530505874876, index = 5
